run_id,algorithm,episode_window_start,episode_window_end,cliff_fall_count,cliff_fall_rate_overall,avg_reward_100_eps
20251121_162146,SARSA,1,100,100,100,-118.15
20251121_162146,SARSA,101,200,100,200,-120.64
20251121_162146,SARSA,201,300,98,298,-121.86
20251121_162146,SARSA,301,400,98,396,-128.46
20251121_162146,SARSA,401,500,87,483,-116.67
20251121_162146,SARSA,501,600,51,534,-75.53
20251121_162146,SARSA,601,700,36,570,-61.68
20251121_162146,SARSA,701,800,23,593,-45.78
20251121_162146,SARSA,801,900,24,617,-48.44
20251121_162146,SARSA,901,1000,11,628,-33.03
20251121_162146,SARSA,1001,1100,12,640,-32.74
20251121_162146,SARSA,1101,1200,2,642,-16.74
20251121_162146,SARSA,1201,1300,8,650,-22.06
20251121_162146,SARSA,1301,1400,3,653,-17.32
20251121_162146,SARSA,1401,1500,13,666,-37.66
20251121_162146,SARSA,1501,1600,1,667,-17.06
20251121_162146,SARSA,1601,1700,1,668,-19.13
20251121_162146,SARSA,1701,1800,0,668,-16.45
20251121_162146,SARSA,1801,1900,1,669,-17.8
20251121_162146,SARSA,1901,2000,0,669,-16.4
20251121_162146,SARSA,2001,2100,6,675,-25.12
20251121_162146,SARSA,2101,2200,2,677,-20.15
20251121_162146,SARSA,2201,2300,6,683,-30.08
20251121_162146,SARSA,2301,2400,2,685,-16.28
20251121_162146,SARSA,2401,2500,8,693,-21.93
20251121_162146,SARSA,2501,2600,0,693,-14.47
20251121_162146,SARSA,2601,2700,8,701,-27.16
20251121_162146,SARSA,2701,2800,9,710,-35.94
20251121_162146,SARSA,2801,2900,2,712,-16.75
20251121_162146,SARSA,2901,3000,8,720,-25.23
20251121_162146,SARSA,3001,3100,5,725,-24.13
20251121_162146,SARSA,3101,3200,4,729,-19.8
20251121_162146,SARSA,3201,3300,3,732,-22.14
20251121_162146,SARSA,3301,3400,2,734,-17.54
20251121_162146,SARSA,3401,3500,10,744,-37.19
20251121_162146,SARSA,3501,3600,5,749,-23.22
20251121_162146,SARSA,3601,3700,2,751,-20.96
20251121_162146,SARSA,3701,3800,2,753,-19.84
20251121_162146,SARSA,3801,3900,3,756,-22.68
20251121_162146,SARSA,3901,4000,3,759,-21.6
20251121_162146,SARSA,4001,4100,4,763,-19.95
20251121_162146,SARSA,4101,4200,8,771,-30.35
20251121_162146,SARSA,4201,4300,4,775,-27.98
20251121_162146,SARSA,4301,4400,7,782,-34.37
20251121_162146,SARSA,4401,4500,5,787,-34.15
20251121_162146,SARSA,4501,4600,0,787,-16.54
20251121_162146,SARSA,4601,4700,3,790,-21.68
20251121_162146,SARSA,4701,4800,3,793,-18.73
20251121_162146,SARSA,4801,4900,1,794,-19.25
20251121_162146,SARSA,4901,5000,4,798,-23.84
20251121_162146,SARSA,5001,5100,0,798,-16.38
20251121_162146,SARSA,5101,5200,0,798,-16.54
20251121_162146,SARSA,5201,5300,1,799,-16.97
20251121_162146,SARSA,5301,5400,1,800,-16.28
20251121_162146,SARSA,5401,5500,12,812,-45.5
20251121_162146,SARSA,5501,5600,6,818,-23.29
20251121_162146,SARSA,5601,5700,5,823,-22.18
20251121_162146,SARSA,5701,5800,5,828,-25.63
20251121_162146,SARSA,5801,5900,3,831,-21.0
20251121_162146,SARSA,5901,6000,8,839,-25.97
20251121_162146,SARSA,6001,6100,8,847,-38.74
20251121_162146,SARSA,6101,6200,2,849,-18.87
20251121_162146,SARSA,6201,6300,3,852,-20.35
20251121_162146,SARSA,6301,6400,4,856,-20.25
20251121_162146,SARSA,6401,6500,19,875,-64.64
20251121_162146,SARSA,6501,6600,4,879,-23.44
20251121_162146,SARSA,6601,6700,5,884,-18.96
20251121_162146,SARSA,6701,6800,2,886,-16.2
20251121_162146,SARSA,6801,6900,8,894,-29.86
20251121_162146,SARSA,6901,7000,6,900,-28.6
20251121_162146,SARSA,7001,7100,3,903,-21.25
20251121_162146,SARSA,7101,7200,8,911,-37.3
20251121_162146,SARSA,7201,7300,6,917,-25.63
20251121_162146,SARSA,7301,7400,3,920,-22.88
20251121_162146,SARSA,7401,7500,7,927,-27.42
20251121_162146,SARSA,7501,7600,4,931,-21.64
20251121_162146,SARSA,7601,7700,3,934,-19.64
20251121_162146,SARSA,7701,7800,8,942,-30.11
20251121_162146,SARSA,7801,7900,2,944,-18.58
20251121_162146,SARSA,7901,8000,7,951,-28.33
20251121_162146,SARSA,8001,8100,11,962,-39.69
20251121_162146,SARSA,8101,8200,7,969,-24.12
20251121_162146,SARSA,8201,8300,1,970,-18.08
20251121_162146,SARSA,8301,8400,4,974,-18.69
20251121_162146,SARSA,8401,8500,2,976,-20.83
20251121_162146,SARSA,8501,8600,2,978,-17.22
20251121_162146,SARSA,8601,8700,0,978,-14.32
20251121_162146,SARSA,8701,8800,3,981,-18.88
20251121_162146,SARSA,8801,8900,2,983,-24.4
20251121_162146,SARSA,8901,9000,6,989,-23.18
20251121_162146,SARSA,9001,9100,3,992,-17.04
